movie_id,sum_gender,total_gender,percent_female
674,1.0,2,0.5
675,1.0,2,0.5
676,0.0,1,0.0
677,1.0,1,1.0
678,0.0,3,0.0
679,0.0,1,0.0
680,0.0,2,0.0
681,0.0,3,0.0
682,0.0,3,0.0
685,1.0,1,1.0
686,1.0,5,0.2
687,1.0,2,0.5
688,0.0,1,0.0
689,0.0,1,0.0
690,0.0,1,0.0
691,0.0,4,0.0
692,0.0,1,0.0
693,0.0,3,0.0
694,1.0,3,0.3333333333333333
695,0.0,2,0.0
696,0.0,2,0.0
697,0.0,3,0.0
698,0.0,2,0.0
699,0.0,3,0.0
700,0.0,4,0.0
701,0.0,3,0.0
702,0.0,3,0.0
703,0.0,2,0.0
705,0.0,1,0.0
706,0.0,1,0.0
707,0.0,3,0.0
708,0.0,3,0.0
709,0.0,3,0.0
710,0.0,4,0.0
711,0.0,1,0.0
712,0.0,1,0.0
713,1.0,1,1.0
714,0.0,2,0.0
742,0.0,1,0.0
744,0.0,2,0.0
745,0.0,1,0.0
746,0.0,3,0.0
747,0.0,2,0.0
750,1.0,2,0.5
751,1.0,2,0.5
752,2.0,2,1.0
753,0.0,1,0.0
754,0.0,2,0.0
755,0.0,2,0.0
757,1.0,2,0.5
758,1.0,2,0.5
759,1.0,3,0.3333333333333333
760,1.0,2,0.5
761,0.0,1,0.0
762,0.0,5,0.0
763,1.0,4,0.25
764,0.0,1,0.0
765,0.0,2,0.0
766,0.0,2,0.0
767,1.0,2,0.5
768,0.0,4,0.0
769,0.0,3,0.0
770,0.0,3,0.0
771,0.0,1,0.0
772,0.0,1,0.0
773,0.0,1,0.0
775,0.0,2,0.0
776,0.0,2,0.0
777,0.0,2,0.0
778,0.0,1,0.0
779,0.0,1,0.0
780,0.0,2,0.0
781,0.0,1,0.0
782,0.0,1,0.0
783,0.0,1,0.0
784,0.0,1,0.0
786,0.0,1,0.0
787,0.0,1,0.0
788,3.0,3,1.0
789,0.0,1,0.0
790,1.0,2,0.5
791,1.0,2,0.5
792,0.0,1,0.0
793,0.0,1,0.0
794,0.0,1,0.0
795,0.0,3,0.0
796,0.0,1,0.0
797,0.0,1,0.0
798,0.0,1,0.0
799,1.0,2,0.5
800,0.0,3,0.0
801,0.0,1,0.0
802,0.0,2,0.0
804,0.0,3,0.0
805,0.0,2,0.0
806,0.0,1,0.0
807,0.0,1,0.0
808,0.0,5,0.0
809,0.0,6,0.0
810,0.0,3,0.0
811,0.0,2,0.0
812,0.0,14,0.0
813,0.0,4,0.0
814,0.0,1,0.0
815,0.0,3,0.0
816,0.0,1,0.0
817,0.0,2,0.0
818,0.0,2,0.0
819,0.0,1,0.0
820,0.0,2,0.0
821,0.0,1,0.0
822,0.0,1,0.0
823,0.0,2,0.0
824,0.0,2,0.0
825,0.0,2,0.0
826,0.0,3,0.0
827,0.0,4,0.0
828,0.0,1,0.0
829,0.0,1,0.0
830,0.0,1,0.0
831,0.0,1,0.0
832,1.0,2,0.5
834,0.0,1,0.0
837,0.0,1,0.0
838,1.0,3,0.3333333333333333
839,0.0,2,0.0
840,0.0,4,0.0
841,0.0,2,0.0
843,0.0,1,0.0
844,0.0,1,0.0
845,0.0,2,0.0
846,0.0,3,0.0
847,0.0,2,0.0
848,0.0,1,0.0
850,0.0,2,0.0
851,0.0,4,0.0
853,0.0,1,0.0
854,0.0,1,0.0
855,0.0,2,0.0
856,0.0,2,0.0
857,0.0,1,0.0
858,0.0,3,0.0
859,0.0,1,0.0
860,0.0,2,0.0
861,0.0,5,0.0
862,0.0,6,0.0
863,1.0,7,0.14285714285714285
864,1.0,4,0.25
865,0.0,2,0.0
866,0.0,3,0.0
867,0.0,1,0.0
868,0.0,2,0.0
869,0.0,4,0.0
870,0.0,1,0.0
871,0.0,3,0.0
872,0.0,2,0.0
873,1.0,2,0.5
874,0.0,2,0.0
875,0.0,1,0.0
876,0.0,2,0.0
877,0.0,3,0.0
879,0.0,2,0.0
881,0.0,2,0.0
884,0.0,2,0.0
885,0.0,1,0.0
886,0.0,2,0.0
887,0.0,1,0.0
888,0.0,7,0.0
889,1.0,3,0.3333333333333333
890,0.0,1,0.0
891,0.0,5,0.0
892,0.0,1,0.0
895,0.0,2,0.0
896,0.0,1,0.0
897,0.0,1,0.0
898,0.0,2,0.0
899,0.0,1,0.0
900,0.0,1,0.0
901,0.0,2,0.0
902,0.0,1,0.0
903,0.0,3,0.0
907,0.0,2,0.0
909,1.0,2,0.5
910,1.0,4,0.25
911,0.0,1,0.0
912,0.0,1,0.0
913,1.0,2,0.5
914,0.0,1,0.0
916,0.0,2,0.0
918,0.0,1,0.0
919,0.0,1,0.0
920,0.0,3,0.0
921,0.0,2,0.0
923,0.0,1,0.0
924,0.0,2,0.0
925,0.0,1,0.0
926,0.0,2,0.0
927,0.0,1,0.0
928,0.0,1,0.0
929,0.0,6,0.0
932,0.0,1,0.0
935,0.0,4,0.0
936,0.0,2,0.0
938,0.0,1,0.0
939,0.0,2,0.0
940,1.0,3,0.3333333333333333
941,0.0,1,0.0
942,0.0,2,0.0
943,0.0,2,0.0
944,0.0,4,0.0
946,0.0,2,0.0
947,0.0,2,0.0
948,1.0,2,0.5
949,0.0,1,0.0
950,0.0,1,0.0
951,0.0,2,0.0
953,0.0,3,0.0
954,0.0,4,0.0
955,0.0,4,0.0
956,0.0,4,0.0
957,0.0,3,0.0
961,0.0,2,0.0
962,0.0,1,0.0
963,0.0,2,0.0
964,0.0,1,0.0
965,0.0,2,0.0
966,0.0,3,0.0
967,0.0,3,0.0
968,0.0,1,0.0
975,0.0,2,0.0
976,0.0,3,0.0
977,0.0,1,0.0
978,1.0,2,0.5
979,0.0,1,0.0
980,0.0,1,0.0
981,0.0,3,0.0
982,0.0,2,0.0
983,1.0,3,0.3333333333333333
984,2.0,6,0.3333333333333333
985,0.0,1,0.0
986,0.0,2,0.0
987,0.0,3,0.0
988,0.0,3,0.0
989,0.0,1,0.0
990,0.0,2,0.0
991,0.0,1,0.0
992,0.0,3,0.0
993,0.0,2,0.0
995,0.0,2,0.0
996,0.0,2,0.0
1018,0.0,1,0.0
1023,0.0,1,0.0
1024,1.0,2,0.5
1039,0.0,1,0.0
1049,1.0,3,0.3333333333333333
1051,0.0,2,0.0
1052,0.0,2,0.0
1058,0.0,2,0.0
1059,0.0,4,0.0
1073,0.0,1,0.0
1075,0.0,1,0.0
1088,1.0,1,1.0
1090,0.0,2,0.0
1091,0.0,1,0.0
1092,0.0,1,0.0
1093,0.0,1,0.0
1103,0.0,2,0.0
1114,0.0,1,0.0
1115,0.0,2,0.0
1116,0.0,1,0.0
1124,0.0,3,0.0
1125,0.0,1,0.0
1127,0.0,1,0.0
1162,0.0,2,0.0
1163,0.0,1,0.0
1164,0.0,3,0.0
1165,0.0,1,0.0
1213,0.0,1,0.0
1244,0.0,1,0.0
1245,1.0,2,0.5
1246,0.0,1,0.0
1247,0.0,1,0.0
1248,0.0,2,0.0
1249,0.0,1,0.0
1250,0.0,1,0.0
1251,0.0,1,0.0
1252,0.0,1,0.0
1253,0.0,1,0.0
